adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/d1RHScaZc7I8j0lDke1c4AxI435.jpg,"[28, 12, 16, 10751, 35]",9502,en,Kung Fu Panda,"Po é um panda que trabalha na loja de macarrão da sua família e sonha em transformar-se em um mestre de kung fu. Seu sonho se torna realidade quando, inesperadamente, ele deve cumprir uma profecia antiga e estudar a arte marcial com seus ídolos, os Cinco Furiosos. Po precisa de toda a sabedoria, força e habilidade que conseguir reunir para proteger seu povo de um leopardo da neve malvado.",82.504,/6figomnwyiUa2ErqK8QangIAO6c.jpg,2008-06-04,Kung Fu Panda,False,7.294,11594
False,/k1KrbaCMACQiq7EA0Yhw3bdzMv7.jpg,"[16, 10751, 10402, 14, 35]",901362,en,Trolls Band Together,"Depois de dois filmes de amizade verdadeira e paquera implacável, Poppy e Tronco agora são oficialmente, finalmente, um casal! À medida que se aproximam, Poppy descobre que Tronco tem um passado secreto.",82.164,/ymbTyNAOx25PW28v6NUqR4cuXPb.jpg,2023-10-12,Trolls 3: Juntos Novamente,False,7.316,854
False,/5rARlA8beRAVXPYzSaF2NoS8Ry5.jpg,"[16, 35, 10751, 14]",76492,en,Hotel Transylvania,"O Hotel Transilvânia é um resort cinco estrelas que serve de refúgio para que os monstros possam descansar do árduo trabalho de perseguir e assustar os humanos. O local é comandado pelo Conde Drácula, que resolve convidar os amigos para comemorar o 118º aniversário de sua filha, Mavis. O que ele não esperava era que Jonathan, um humano sem noção, fosse aparecer no local justo quando o hotel está repleto de convidados e, ainda por cima, se apaixonasse por Mavis.",81.524,/i9kAWShk7qrqril2dLboP0hi8I2.jpg,2012-09-20,Hotel Transilvânia,False,7.0,8615
False,/zgQQF04u3OgNBJqClRNby1FPz9s.jpg,"[16, 10751, 28, 878, 35, 18, 12]",893723,en,PAW Patrol: The Mighty Movie,"Um meteoro mágico cai em Adventure City, dá superpoderes aos filhotes da Patrulha Canina e os transforma em Os Super Filhotes. Quando o arquirrival da Patrulha Canina, Humdinger, foge da prisão e se junta a um cientista maluco para roubar os poderes para si, Os Super Filhotes devem salvar Adventure City e deter os supervilões antes que seja tarde demais.",81.379,/mUirEoPDHqKYKzpfExHPvcnz6ME.jpg,2023-09-21,Patrulha Canina: Um Filme Superpoderoso,False,7.0,458
False,/ep1urICLqtwwV1sTPHP9WXV4Uto.jpg,"[16, 35, 10751, 12, 14]",585083,en,Hotel Transylvania: Transformania,"Drac e sua turma acabam sendo transformados em humanos após uma invenção de Van Helsing. Agora, eles precisam viajar até a Floresta Amazônica para encontrar o que pode ser a única solução para reverter a transformação, antes que seus poderes se percam para sempre.",80.776,/9PbtCo5IIkd26WPQfZUpPyn6fTz.jpg,2022-01-31,Hotel Transilvânia: Transformonstrão,False,7.078,2771
False,/yMmhALrLWj9amm2pAelmdXggxk2.jpg,"[16, 10751, 12, 35]",49013,en,Cars 2,"O astro das corridas, Relâmpago McQueen, e o carro-guincho, Mate, viajam para disputar o primeiro Grand Prix Mundial, que irá revelar o carro mais veloz do planeta. Nessa jornada imperdível, Mate se envolve com um grupo de espionagem e vive grandes aventuras com seus amigos.",80.506,/fIKaabvE40T39nOIngcZPcPJeYe.jpg,2011-06-11,Carros 2,False,6.1,7767
False,/2XSeKDmIa2KxaiJy4J9e8FrIZhk.jpg,"[16, 10751, 35]",20352,en,Despicable Me,"Um homem que adora todas as coisas diabólicas, o supervilão Gru traça um plano para roubar a lua. Rodeado de um exército de pequenos ajudantes e seu arsenal de armas e máquinas de guerra, Gru se prepara para destruir quem atravessar seu caminho. Mas ele não esperava pelo seu maior desafio: três adoráveis órfãs que querem ter Gru como pai.",79.566,/rYZzutMXxvirK9gK01iLo3Blaj3.jpg,2010-07-08,Meu Malvado Favorito,False,7.246,15078
False,/uMSxXLfH7v30gRNBqsQaSP3yqX5.jpg,"[16, 35, 10751, 12]",438148,en,Minions: The Rise of Gru,"A continuação das aventuras dos Minions, sempre em busca de um líder tirânico. Dessa vez, eles ajudam um Gru ainda criança, descobrindo como ser vilão.",79.29,/v3VjDN1SbMLK5u1B9Z7EuHWsFBr.jpg,2022-06-29,Minions 2: A Origem de Gru,False,7.318,3617
False,/i7W7x1EhLk0PXXFnHiCPBgUjBVC.jpg,"[18, 16, 10751, 35]",51052,en,Arthur Christmas,"Na linhagem dos papais Noel, Arthur (voz de James McAvoy) é o único que ainda acredita no espírito natalino. Seu irmão mais velho, Steve (Hugh Laurie), herdeiro do trenó, comanda com eficiência e disciplina a entrega mundial de presentes, enquanto Papai Noel (Jim Broadbent) já é apenas mais um no grande esquema de distribuição. Bill Nighy faz a voz de Vovô Noel, que aos 136 anos despreza toda essa modernidade e diz que o Natal no seu tempo era muito melhor.",77.472,/zl3jpbZ1weIUIUBB3OzUY9HSSSF.jpg,2011-11-10,Operação Presente,False,6.766,1470
False,/86TlYSntBzD4pxLNM6U3GoOfGdD.jpg,"[10751, 16, 12, 35]",260514,en,Cars 3,"Durante mais uma disputa eletrizante nas pistas, o campeão Relâmpago McQueen acelerou demais e acabou perdendo o controle. Agora, após ter capotando várias vezes e quase ter partido dessa para melhor, o vermelhinho vai ter sua vida alterada para sempre. O acidente foi tão grave que, com os estragos, McQueen pode ter que se aposentar de vez.",77.125,/lVPFdORefTKXKFiSktrXbiFDNAK.jpg,2017-06-15,Carros 3,False,6.9,5817
False,/uT5G4fA7jKxlJNfwYPMm353f5AI.jpg,"[28, 12, 16, 35, 10751]",140300,en,Kung Fu Panda 3,"Em uma visita a uma vila secreta com o pai, Po forma um exército de pandas para combater um espírito maligno que ameaça a China.",76.683,/pXYJjUNtnLfXVKGmqi1nfGornri.jpg,2016-01-23,Kung Fu Panda 3,False,6.914,6024
False,/q62bpQ67qaXY0u6b2wFEnQYIbPd.jpg,"[10751, 12, 16, 35, 14]",301528,en,Toy Story 4,"Agora morando na casa da pequena Bonnie, Woody apresenta aos amigos o novo brinquedo construído por ela: Forky, baseado em um garfo de verdade. O novo posto de brinquedo não o agrada nem um pouco, o que faz com que Forky fuja de casa. Decidido a trazer de volta o atual brinquedo favorito de Bonnie, Woody parte em seu encalço e, no caminho, reencontra Bo Peep, que agora vive em um parque de diversões.",76.67,/csiyO6q8rR74pfgJDjwINzhoick.jpg,2019-06-19,Toy Story 4,False,7.5,9759
False,/4gC8WdOeis3h1UC4qVvdhN2wlIP.jpg,"[16, 12, 35, 10751, 28, 14]",62177,en,Brave,"Determinada a seguir seu próprio caminho na vida, a princesa Mérida desafia um costume que traz caos ao seu reino. Concedido um desejo, Merida deve confiar em sua bravura e suas habilidades de arco e flecha para desfazer uma maldição bestial.",76.076,/tr0yoWlFmRgKrkE2SvYokkN6PcA.jpg,2012-06-21,Valente,False,7.02,13347
